"Species_name","Parvorder","Confidence","tips","column","value"
"Hyperoodon ampullatus","Odontoceti","3,3,4,4","Hyperoodon_ampullatus","Conf4","cathemeral"
"Hyperoodon ampullatus","Odontoceti","3,3,4,4","Hyperoodon_ampullatus","Conf4","cathemeral"
"Hyperoodon planifrons","Odontoceti","3,3","Hyperoodon_planifrons","Conf3","diurnal"
"Hyperoodon planifrons","Odontoceti","3,3","Hyperoodon_planifrons","Conf3","diurnal/crepuscular"
"Indopacetus pacificus","Odontoceti","3,3","Indopacetus_pacificus","Conf3","nocturnal/crepuscular"
"Indopacetus pacificus","Odontoceti","3,3","Indopacetus_pacificus","Conf3","nocturnal"
"Inia boliviensis","Odontoceti","1","Inia_boliviensis","Conf1","nocturnal"
"Inia geoffrensis","Odontoceti","3,3,3,5,2","Inia_geoffrensis","Conf2","nocturnal"
"Inia geoffrensis","Odontoceti","3,3,3,5,2","Inia_geoffrensis","Conf3","diurnal"
"Inia geoffrensis","Odontoceti","3,3,3,5,2","Inia_geoffrensis","Conf3","nocturnal/cathemeral"
"Inia geoffrensis","Odontoceti","3,3,3,5,2","Inia_geoffrensis","Conf3","cathemeral"
"Inia geoffrensis","Odontoceti","3,3,3,5,2","Inia_geoffrensis","Conf5","cathemeral"
"Inia humboldtiana","Odontoceti","1","Inia_humboldtiana","Conf1","nocturnal"
"Kogia breviceps","Odontoceti","3,1,1,4,3,3","Kogia_breviceps","Conf1","nocturnal"
"Kogia breviceps","Odontoceti","3,1,1,4,3,3","Kogia_breviceps","Conf3","cathemeral"
"Kogia breviceps","Odontoceti","3,1,1,4,3,3","Kogia_breviceps","Conf3","nocturnal/crepuscular"
"Kogia breviceps","Odontoceti","3,1,1,4,3,3","Kogia_breviceps","Conf3","cathemeral"
"Kogia breviceps","Odontoceti","3,1,1,4,3,3","Kogia_breviceps","Conf4","nocturnal/crepuscular"
"Kogia sima","Odontoceti","3,2,1,3,3","Kogia_sima","Conf1","nocturnal"
"Kogia sima","Odontoceti","3,2,1,3,3","Kogia_sima","Conf2","nocturnal"
"Kogia sima","Odontoceti","3,2,1,3,3","Kogia_sima","Conf3","cathemeral"
"Kogia sima","Odontoceti","3,2,1,3,3","Kogia_sima","Conf3","nocturnal/crepuscular"
"Kogia sima","Odontoceti","3,2,1,3,3","Kogia_sima","Conf3","cathemeral"
"Lagenodelphis hosei","Odontoceti","1,3","Lagenodelphis_hosei","Conf1","nocturnal"
"Lagenodelphis hosei","Odontoceti","1,3","Lagenodelphis_hosei","Conf3","nocturnal"
"Lagenorhynchus acutus","Odontoceti","2,3","Lagenorhynchus_acutus","Conf2","diurnal"
"Lagenorhynchus acutus","Odontoceti","2,3","Lagenorhynchus_acutus","Conf3","nocturnal"
