"Species_name","Parvorder","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf1.5","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf2N.1","Conf2N.2","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf3.6","Conf3.7","Conf3.8","Conf3ByS.1","Conf3ByS.2","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf4.6","Conf4.7","Conf4.8","Conf5.1","Conf5.2","Conf5.3","Conf5.4","Confidence","tips"
"Mesoplodon europaeus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Mesoplodon_europaeus"
"Mesoplodon ginkgodens","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," nocturnal",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3, 3","Mesoplodon_ginkgodens"
"Mesoplodon grayi","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5","Mesoplodon_grayi"
"Mesoplodon hotaula","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3","Mesoplodon_hotaula"
"Mesoplodon layardii","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5","Mesoplodon_layardii"
"Mesoplodon mirus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3","Mesoplodon_mirus"
"Mesoplodon peruvianus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"0.5","Mesoplodon_peruvianus"
"Mesoplodon stejnegeri","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3","Mesoplodon_stejnegeri"
"Monodon monoceros","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/crepuscular","",NA,NA,NA,NA,NA,NA,"",NA,"cathemeral"," cathemeral"," cathemeral"," nocturnal/crepuscular"," cathemeral",NA,NA,NA,"",NA,NA,NA,"4,4,4,4,3,4,4","Monodon_monoceros"
"Neophocaena asiaeorientalis","Odontoceti","",NA,NA,NA,NA,"unclear",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,"3,3,5,2,3,4","Neophocaena_asiaeorientalis"
"Neophocaena phocaenoides","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,NA,"nocturnal/cathemeral",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,3","Neophocaena_phocaenoides"
"Neophocaena sunameri","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/cathemeral"," diurnal",NA,NA,NA,NA,NA,NA,"diurnal",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,3","Neophocaena_sunameri"
"Orcaella brevirostris","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular"," unclear/crepuscular"," unclear/crepuscular",NA,NA,"",NA,"cathemeral"," cathemeral"," nocturnal",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,3,3,2,3","Orcaella_brevirostris"
"Orcaella heinsohni","Odontoceti","nocturnal",NA,NA,NA,NA,"unclear"," unclear"," unclear"," unclear",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,1,2,2","Orcaella_heinsohni"
"Orcinus orca","Odontoceti","diurnal"," diurnal",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,"",NA,"diurnal"," diurnal/cathemeral"," diurnal"," diurnal"," diurnal",NA,NA,NA,"diurnal",NA,NA,NA,"4,3,1,4,4,1,4,5,4","Orcinus_orca"
"Peponocephala electra","Odontoceti","diurnal",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"",NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,"2,3,4,5,1","Peponocephala_electra"
"Phocoena phocoena","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal"," cathemeral"," cathemeral"," nocturnal"," nocturnal"," nocturnal/crepuscular"," cathemeral","",NA,"diurnal/cathemeral"," nocturnal/crepuscular"," nocturnal",NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,4,3,3,4,3,3,4,3,3","Phocoena_phocoena"
"Phocoena sinus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3","Phocoena_sinus"
"Phocoena spinipinnis","Odontoceti","cathemeral",NA,NA,NA,NA,"unclear/diurnal"," diurnal",NA,NA,NA,"unclear/nocturnal"," unclear","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,2,1,2,2,0.5","Phocoena_spinipinnis"
"Phocoenoides dalli","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"," diurnal/crepuscular","",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"2,3,3","Phocoenoides_dalli"
"Physeter macrocephalus","Odontoceti","",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular"," nocturnal"," cathemeral"," diurnal"," nocturnal"," cathemeral"," nocturnal/crepuscular"," cathemeral","",NA,"diurnal/cathemeral"," cathemeral"," nocturnal"," cathemeral"," diurnal",NA,NA,NA,"",NA,NA,NA,"3,4,3,4,4,3,3,3,3,3,4,3,4","Physeter_macrocephalus"
"Platanista gangetica","Odontoceti","",NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"",NA,"cathemeral/crepuscular"," nocturnal"," nocturnal/crepuscular",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,2,3","Platanista_gangetica"
"Platanista minor","Odontoceti","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,1","Platanista_minor"
"Pontoporia blainvillei","Odontoceti","nocturnal",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"nocturnal"," cathemeral"," nocturnal/crepuscular"," nocturnal/cathemeral",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"3,3,1,3,3","Pontoporia_blainvillei"
