"tips","max_crep","Diel_Pattern","Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","Orbit_ratio","Species_name","min_lat","max_lat","mean_lat"
"Capricornis_thar","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,272208.21,27.93,34.6,21.26,96.07,74.1,85.09,NA,NA,NA,NA,NA
"Catagonus_wagneri","crepuscular","diurnal/crepuscular","Artiodactyla","Tayassuidae",35566.4,1025.93,6,1,7,5.75,1,2,329880.88,-23.08,-19.59,-26.58,-58.41,-64.64,-61.53,NA,"Catagonus wagneri",-26.121464408,-18.449164407,-22.2853144075
"Cephalophus_adersi","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",9249.95,690,4,1,NA,NA,1,1,3824.3,-4.78,-3.09,-6.47,40.13,39.18,39.65,NA,"Cephalophus adersi",-6.47613525399993,-1.35353999999995,-3.91483762699994
"Cephalophus_brookei",NA,NA,"Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,356101.47,6.65,8.95,4.35,-0.43,-13.16,-6.8,NA,NA,NA,NA,NA
"Cephalophus_callipygus","diurnal","diurnal","Artiodactyla","Bovidae",19079.23,1014.28,3,1,0.32,NA,1,1,788397.64,-0.41,5.23,-6.05,22.7,8.69,15.7,NA,"Cephalophus callipygus",-4.52216440799998,5.02023559200006,0.249035592000041
"Cephalophus_dorsalis","nocturnal","nocturnal","Artiodactyla","Bovidae",20000,849.99,4,1,0.27,1,1,2,2874503.05,1.14,9.35,-7.06,30.66,-13.29,8.68,NA,"Cephalophus dorsalis",-10.8545644079999,12.5784355920001,0.861935592000066
"Cephalophus_harveyi","crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cephalophus harveyi",-13.350664407,6.81563559200004,-3.26751440749996
"Cephalophus_jentinki","diurnal","diurnal","Artiodactyla","Bovidae",68489.54,1349.99,4,NA,NA,NA,NA,1,130952.07,6.79,9.22,4.35,-4.91,-13.2,-9.05,NA,"Cephalophus jentinki",4.83623453100006,9.29473559300004,7.06548506200005
"Cephalophus_leucogaster","diurnal","diurnal","Artiodactyla","Bovidae",13208.69,939.32,5,1,NA,NA,1,2,1396673.01,-0.45,5.15,-6.05,30.64,8.69,19.67,NA,"Cephalophus leucogaster",-5.68289432899996,4.27843559300004,-0.702229367999962
"Cephalophus_natalensis","crepuscular","cathemeral/crepuscular","Artiodactyla","Bovidae",12724.51,786.14,4,1,0.06,2,1,1,1208751.28,-19.25,-7.38,-31.13,40.84,29.23,35.03,NA,"Cephalophus natalensis",-29.940664408,-6.71996440699996,-18.3303144075
"Cephalophus_niger","cathemeral","cathemeral","Artiodactyla","Bovidae",19094.32,1041.8,7,1,NA,NA,1,2,726891.4,6.79,9.29,4.29,6.75,-13.29,-3.26,NA,"Cephalophus niger",4.29343559300003,10.008535593,7.15098559300003
"Cephalophus_nigrifrons","diurnal","diurnal","Artiodactyla","Bovidae",14676.33,944.21,4,1,NA,NA,1,1,2766201.07,-2.36,5.12,-9.85,37.79,8.69,23.24,NA,"Cephalophus nigrifrons",-11.3570644069999,5.87333559300004,-2.74186440699995
"Cephalophus_ogilbyi","diurnal","diurnal","Artiodactyla","Bovidae",18386.42,1000,NA,NA,0.07,NA,NA,NA,231511.16,1.84,7.15,-3.46,12.62,5.99,9.31,NA,"Cephalophus ogilbyi",-3.95053590399993,9.89903559200008,2.97424984400007
"Cephalophus_rufilatus","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",12114.57,650,5,1,NA,1,1,2,3098970.49,9.41,16.1,2.73,31.61,-17.53,7.03,NA,"Cephalophus rufilatus",1.88833559300002,15.0020355930001,8.44518559300005
"Cephalophus_silvicultor","nocturnal","nocturnal","Artiodactyla","Bovidae",62006.6,1324.76,5,1,NA,1,1,2,6018051.89,-1.89,13.58,-17.38,37.39,-16.79,10.29,NA,"Cephalophus silvicultor",-17.381464407,13.1637355930001,-2.10886440699994
"Cephalophus_spadix","nocturnal","nocturnal","Artiodactyla","Bovidae",56857.02,1174.48,3,1,NA,NA,1,1,36583.37,-6.04,-2.6,-9.48,38.83,33.33,36.08,NA,"Cephalophus spadix",-9.23556440799996,-2.85376440699997,-6.04466440749997
"Cephalophus_weynsi","diurnal","diurnal","Artiodactyla","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,1692834.41,-0.83,5.14,-6.81,37.26,16.17,26.72,NA,"Cephalophus weynsi",-6.56486440699996,5.47383559300005,-0.545514406999956
"Cephalophus_zebra","cathemeral","cathemeral","Artiodactyla","Bovidae",15654.75,874.99,3,1,NA,NA,1,2,171546.51,6.45,8.55,4.35,-5.5,-11.79,-8.64,NA,"Cephalophus zebra",4.83623453100006,8.53598409100005,6.68610931100005
"Cephalorhynchus_commersonii","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cephalorhynchus commersonii",-56.1131552699999,-42.090212655,-49.1016839624999
"Cephalorhynchus_eutropia","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cephalorhynchus eutropia",-55.9977012649999,-33.092932827,-44.545317046
"Cephalorhynchus_heavisidii","crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cephalorhynchus heavisidii",-34.27205658,-14.7037258149999,-24.4878911974999
"Cephalorhynchus_hectori","cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cephalorhynchus hectori",-47.0779362919999,-35.6400833129999,-41.3590098024999
"Cervus_albirostris","crepuscular","cathemeral/crepuscular","Artiodactyla","Cervidae",161681.9,NA,NA,NA,NA,NA,NA,NA,1061382.86,33.72,39.57,27.88,103.96,91.7,97.83,NA,"Cervus albirostris",27.951235593,39.7192355920001,33.8352355925001
"Cervus_canadensis","crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cervus canadensis",27.6430900003033,60.8276355918092,44.2353627960563
"Cervus_elaphus","crepuscular","cathemeral/crepuscular","Artiodactyla","Cervidae",240867.13,2136.72,5,1,58.42,17.5,1,1,14167735.33,46.41,64.59,28.23,141.54,-124.73,8.4,NA,"Cervus elaphus",33.4545552665124,66.9612355921489,50.2078954293306
"Cervus_hanglu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cervus hanglu",33.973657861,44.35595025,39.1648040555
"Cervus_nippon","crepuscular","cathemeral/crepuscular","Artiodactyla","Cervidae",52999.99,1200.51,2,1,1.43,7.5,1,1,2714652.61,33.97,47.71,20.22,145.82,107.98,126.9,0.925512852639037,"Cervus nippon",18.318335593,45.5944355930001,31.956385593
"Choeropsis_liberiensis","crepuscular","nocturnal/crepuscular","Artiodactyla","Hippopotamidae",235001.16,1600,4,2,0.72,1.25,1,1,35806.59,8.28,12.29,4.27,7.33,-15.59,-4.13,NA,"Choeropsis liberiensis",4.27714395400005,9.93161000000003,7.10437697700004
"Connochaetes_gnou","diurnal","diurnal","Artiodactyla","Bovidae",156547.53,1821.79,2,1,0.95,26.75,1,1,132200.71,-28.83,-26.92,-30.73,29.61,24.14,26.87,0.895247878526611,"Connochaetes gnou",-32.947264407,-25.702264407,-29.324764407
"Connochaetes_taurinus","crepuscular","diurnal/crepuscular","Artiodactyla","Bovidae",198619.68,2014.99,1,1,NA,20,1,1,3201113.49,-15.63,-0.82,-30.44,39.88,13.13,26.5,NA,"Connochaetes taurinus",-30.603064407,-0.776264406999928,-15.689664407
"Dama_dama","crepuscular","diurnal/crepuscular","Artiodactyla","Cervidae",57224.61,NA,2,1,0.71,10.5,1,1,3081759.24,48.26,60.52,36.01,34.67,-10.47,12.09,0.916186638654918,"Dama dama",34.899835593,60.519635593,47.709735593
"Dama_mesopotamica","crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dama mesopotamica",29.5478355920001,37.579235592,33.5635355920001
"Damaliscus_korrigum",NA,NA,"Artiodactyla","Bovidae",127194.87,NA,NA,NA,NA,NA,NA,NA,3278531.91,2.59,15.28,-10.09,45.33,-0.003893153,22.66,NA,NA,NA,NA,NA
