"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Dive_duration","Body_length_m","Orbit_ratio","Diet","Brain_mass_g","Encephalization_quotient","Longevity_days","Sexual_maturity_days","Group_size","IUCN","Dive_depth_m","Mean_dive_depth_m","Body_mass_kg","Average_body_mass_kg","Habitat","Feeding_method","Divetype","Species_name","max_lat","mean_lat"
"Mesoplodon_bowdoini","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Mesoplodon_carlhubbsi","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,28.4698,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Mesoplodon_densirostris","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,54,4.7,30,"cephalopods + fish","1424.5",0.91,"9855",3285,5,"least_concern",1500,1466.66666666667,1173,1078.66666666667,"pelagic","Suction","verydeep","Mesoplodon densirostris",64.8422355930985,11.6739355926416
"Mesoplodon_eueu","Odontoceti","Ziphiidae",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mesoplodon eueu",-23.5049494502788,-34.4018811445234
"Mesoplodon_europaeus","Odontoceti","Ziphiidae","cathemeral","cathemeral",3,NA,NA,29.5183333333333,"cephalopods + fish","2148.5",1.75,"17,520",3285,NA,"least_concern",872,872,1200,1016.75,"pelagic","Suction","deep","Mesoplodon europaeus",57.429620330895,17.3195208465344
"Mesoplodon_ginkgodens","Odontoceti","Ziphiidae","nocturnal","nocturnal",3,NA,NA,29.331469,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Mesoplodon_grayi","Odontoceti","Ziphiidae",NA,NA,1,NA,NA,31.3653147686135,"cephalopods + fish",NA,NA,NA,NA,4,"least_concern",NA,NA,5000,2325.68333333333,"pelagic","Suction","verydeep_low_conf","Mesoplodon grayi",-11.3862915038738,-40.1794433593155
"Mesoplodon_hectori","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,500,500,"pelagic","Suction","verydeep_low_conf",NA,NA,NA
"Mesoplodon_hotaula","Odontoceti","Ziphiidae","diurnal","diurnal",3,NA,NA,27.53762,"cephalopods + fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pelagic","Suction",NA,NA,NA,NA
"Mesoplodon_layardii","Odontoceti","Ziphiidae",NA,NA,1,NA,NA,23.968415,"cephalopods + fish",NA,NA,NA,NA,4.1,"least_concern",NA,NA,2700,2549.5,"pelagic","Suction",NA,"Mesoplodon layardii",-23.7363891611914,-43.4874877935634
