"Order","Family","AdultBodyMass_g","AdultHeadBodyLen_mm","DietBreadth","HabitatBreadth","HomeRange_km2","SocialGrpSize","Terrestriality","TrophicLevel","GR_Area_km2","GR_MidRangeLat_dd","GR_MaxLat_dd","GR_MinLat_dd","GR_MaxLong_dd","GR_MinLong_dd","GR_MidRangeLong_dd","tips"
"Artiodactyla","Bovidae",3913.68,499.99,4,NA,NA,2,NA,1,426515.09,6.81,9.27,4.35,0.13,-13.32,-6.59,"Neotragus_pygmaeus"
"Artiodactyla","Cervidae",84560.57,1516.5,2,1,2.01,NA,1,1,6310738.18,41.77,62.28,21.27,-96.52,-149.44,-122.98,"Odocoileus_hemionus"
"Artiodactyla","Cervidae",75901.25,1513.69,4,1,1.99,2.25,1,1,14446002.22,21.89,61.76,-17.98,-49.87,-130.91,-90.39,"Odocoileus_virginianus"
"Artiodactyla","Bovidae",72105.4,1297.33,2,1,18.17,3,1,1,1137827.98,54.06,64.61,43.51,-110.18,-151.99,-131.08,"Oreamnos_americanus"
"Artiodactyla","Bovidae",13486.55,824.99,4,1,NA,2,1,1,5375303.33,-7.77,19.29,-34.83,50.9,7.62,29.26,"Oreotragus_oreotragus"
"Artiodactyla","Bovidae",200576.52,NA,NA,NA,NA,NA,NA,NA,1255430.97,6.35,18.42,-5.72,51.41,33.12,42.26,"Oryx_beisa"
"Artiodactyla","Bovidae",199798.95,1910,5,1,NA,30,1,1,214297.23,16.24,18.51,13.98,21.38,9.17,15.28,"Oryx_dammah"
"Artiodactyla","Bovidae",188404.45,1615,5,1,NA,20,1,1,4613581.92,-8.27,18.29,-34.83,51.11,11.71,31.41,"Oryx_gazella"
"Artiodactyla","Bovidae",75788.24,NA,5,1,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,"Oryx_leucoryx"
"Artiodactyla","Bovidae",17186.09,1160,3,1,NA,2,1,1,8258056.75,-8.62,16.53,-33.77,45.53,-15.07,15.23,"Ourebia_ourebi"
"Artiodactyla","Bovidae",312500,NA,2,1,NA,12.5,1,1,1615605.88,71.68,83.62,59.74,-12.49,-168.12,-90.31,"Ovibos_moschatus"
"Artiodactyla","Bovidae",113998.72,1585,2,1,4.59,NA,1,1,10939816.94,41.17,55.79,26.55,125.74,29.01,77.38,"Ovis_ammon"
"Artiodactyla","Bovidae",39097.89,1297.23,2,NA,NA,35,NA,1,NA,NA,NA,NA,NA,NA,NA,"Ovis_aries"
"Artiodactyla","Bovidae",74644.87,1565.5,2,1,18.94,NA,1,1,2457850.19,40.48,57.15,23.82,-101.6,-123.9,-112.75,"Ovis_canadensis"
"Artiodactyla","Bovidae",70194.13,1415.02,2,1,10.15,9.5,1,1,1014237.16,60.59,69.14,52.03,-118.87,-164.06,-141.47,"Ovis_dalli"
"Artiodactyla","Bovidae",90000,NA,NA,NA,NA,NA,NA,NA,1645753.65,61.16,70.76,51.56,179.99,-179.99,-0.000284268,"Ovis_nivicola"
