"Species_name","min_lat","max_lat","tips","mean_lat"
"Feresa attenuata",-36.5689519329994,44.3965737809998,"Feresa_attenuata",3.91381092400024
"Globicephala macrorhynchus",-38.1775413219995,58.1619033369958,"Globicephala_macrorhynchus",9.99218100749817
"Globicephala melas",-66.7018308509996,72.9358419690001,"Globicephala_melas",3.11700555900023
"Hyperoodon ampullatus",14.1523189540001,75.102571487,"Hyperoodon_ampullatus",44.6274452205001
"Hyperoodon planifrons",-79.9519042968922,-19.5227050774855,"Hyperoodon_planifrons",-49.7373046871888
"Inia geoffrensis",-18.0616363789999,9.63607641400006,"Inia_geoffrensis",-4.21277998249994
"Kogia breviceps",-48.2377036349845,57.2283809247347,"Kogia_breviceps",4.49533864487508
"Kogia sima",-40.6255511545618,45.9753990219472,"Kogia_sima",2.67492393369269
"Lagenodelphis hosei",-35.944691281,41.0432817970001,"Lagenodelphis_hosei",2.54929525800006
"Lagenorhynchus acutus",39.0621738431484,77.4055118558875,"Lagenorhynchus_acutus",58.2338428495179
"Lagenorhynchus albirostris",40.579750061,79.9926395410001,"Lagenorhynchus_albirostris",60.2861948010001
"Lagenorhynchus australis",-60.7243984049999,-32.834366841,"Lagenorhynchus_australis",-46.7793826229999
"Lagenorhynchus cruciger",-68.501262475,-32.476634695,"Lagenorhynchus_cruciger",-50.488948585
"Lagenorhynchus obliquidens",21.310639656,61.5051497760001,"Lagenorhynchus_obliquidens",41.407894716
"Lipotes vexillifer",28.369538086,32.267268465,"Lipotes_vexillifer",30.3184032755
"Lissodelphis borealis",30.1853098330001,51.272307971,"Lissodelphis_borealis",40.7288089020001
"Lissodelphis peronii",-62.6091690709999,-9.69136516599997,"Lissodelphis_peronii",-36.1502671185
"Megaptera novaeangliae",-77.1493766309999,80.4418925489992,"Megaptera_novaeangliae",1.64625795899966
"Mesoplodon bidens",26.514886855951,71.6202297211784,"Mesoplodon_bidens",49.0675582885647
"Mesoplodon densirostris",-41.4943644078153,64.8422355930985,"Mesoplodon_densirostris",11.6739355926416
"Mesoplodon europaeus",-22.7905786378262,57.429620330895,"Mesoplodon_europaeus",17.3195208465344
"Mesoplodon grayi",-68.9725952147572,-11.3862915038738,"Mesoplodon_grayi",-40.1794433593155
"Mesoplodon layardii",-63.2385864259355,-23.7363891611914,"Mesoplodon_layardii",-43.4874877935634
"Mesoplodon peruvianus",-30.1054840126911,31.9146213517249,"Mesoplodon_peruvianus",0.904568669516863
"Mesoplodon stejnegeri",32.6696355930001,63.390835592,"Mesoplodon_stejnegeri",48.0302355925
"Monodon monoceros",60.1572476490001,85.007173116,"Monodon_monoceros",72.5822103825001
"Orcinus orca",-85.582763631,82.3946871689999,"Orcinus_orca",-1.59403823100005
"Peponocephala electra",-34.419611941,36.4103742,"Peponocephala_electra",0.995381129500032
"Phocoena spinipinnis",-56.0247226349999,-5.67120787699997,"Phocoena_spinipinnis",-30.847965256
"Phocoenoides dalli",29.2441322770001,62.6856574000001,"Phocoenoides_dalli",45.9648948385001
"Stenella attenuata",-41.0447496699999,43.5502419410001,"Stenella_attenuata",1.25274613550008
"Stenella clymene",-32.58670559,41.0165759490001,"Stenella_clymene",4.21493517950006
"Stenella coeruleoalba",-49.647463941976,60.6971804179978,"Stenella_coeruleoalba",5.52485823801094
"Stenella frontalis",-34.468734126,49.1737602910001,"Stenella_frontalis",7.35251308250005
"Tasmacetus shepherdi",-55.1492909959999,-33.250954318,"Tasmacetus_shepherdi",-44.200122657
"Ziphius cavirostris",-53.2252323813278,64.7919473489004,"Ziphius_cavirostris",5.78335748378631
"Indopacetus pacificus",-29.9181417367042,37.0621062823665,"Indopacetus_pacificus",3.57198227283118
"Eubalaena japonica",24.422005459,66.391662597,"Eubalaena_japonica",45.406834028
"Tursiops aduncus",-37.6184752434377,36.1057980946064,"Tursiops_aduncus",-0.756338574415622
"Phocoena dioptrica",-63.73048697,-25.6893534189999,"Phocoena_dioptrica",-44.7099201944999
"Neophocaena asiaeorientalis",22.6665997700001,40.9529457100001,"Neophocaena_asiaeorientalis",31.8097727400001
"Physeter macrocephalus",-83.0205078129852,75.6724853507184,"Physeter_macrocephalus",-3.67401123113336
"Platanista gangetica",20.1435033113288,30.2405902350513,"Platanista_gangetica",25.1920467731901
"Mesoplodon perrini",20.413695077324,39.5148645455675,"Mesoplodon_perrini",29.9642798114458
"Sotalia fluviatilis",-10.9968564789489,2.5446435208475,"Sotalia_fluviatilis",-4.22610647905069
"Neophocaena phocaenoides",-7.61384607399998,30.5183430020001,"Neophocaena_phocaenoides",11.452248464
"Bubalus mindorensis",12.666687011,13.47824289,"Bubalus_mindorensis",13.0724649505
"Okapia johnstoni",-3.03668212899993,3.88749980900008,"Okapia_johnstoni",0.425408840000074
"Muntiacus muntjak",-8.96136440699996,9.33643559300003,"Muntiacus_muntjak",0.187535593000035
"Cervus albirostris",27.951235593,39.7192355920001,"Cervus_albirostris",33.8352355925001
"Moschus chrysogaster",27.2668355920001,40.614035593,"Moschus_chrysogaster",33.9404355925001
"Moschus fuscus",25.0620355930001,30.277135592,"Moschus_fuscus",27.6695855925001
"Moschus moschiferus",34.2840003970001,68.9090355930001,"Moschus_moschiferus",51.5965179950001
"Moschus leucogaster",26.866535593,34.6974355930001,"Moschus_leucogaster",30.7819855930001
"Tragulus nigricans",7.80165653000006,12.3313316650001,"Tragulus_nigricans",10.0664940975001
"Tragulus javanicus",-8.84946440699997,-5.87376440699995,"Tragulus_javanicus",-7.36161440699996
"Tragulus napu",-5.94502000099993,14.1096355930001,"Tragulus_napu",4.08230779600007
"Tragulus kanchil",-5.94502000099993,21.7507603930001,"Tragulus_kanchil",7.90287019600007
"Tragulus versicolor",12.0464355930001,14.4817355930001,"Tragulus_versicolor",13.2640855930001
"Tragulus williamsoni",18.358635592,21.6427355930001,"Tragulus_williamsoni",20.0006855925
"Moschiola indica",8.06900024400005,29.0673355920001,"Moschiola_indica",18.5681679180001
"Moschus anhuiensis",30.344535593,31.7606355930001,"Moschus_anhuiensis",31.0525855930001
"Moschus cupreus",33.6638355920001,36.84858411,"Moschus_cupreus",35.2562098510001
"Moschiola kathygre",5.91683340100008,7.23403559200005,"Moschiola_kathygre",6.57543449650007
"Pseudois nayaur",26.851135593,40.013035593,"Pseudois_nayaur",33.432085593
"Catagonus wagneri",-26.121464408,-18.449164407,"Catagonus_wagneri",-22.2853144075
"Axis kuhlii",-5.85652078699997,-5.75356440799993,"Axis_kuhlii",-5.80504259749995
"Moschiola meminna",6.22809087200005,9.83136081700007,"Moschiola_meminna",8.02972584450006
"Sousa sahulensis",-28.489119914,0.10715067700005,"Sousa_sahulensis",-14.1909846185
"Rusa unicolor",-5.94502782799998,33.7665355930001,"Rusa_unicolor",13.9107538825
"Gazella arabica",12.9373355930001,29.6533355930001,"Gazella_arabica",21.2953355930001
"Philantomba walteri",4.50517057600007,10.3646524910001,"Philantomba_walteri",7.43491153350007
"Capra cylindricornis",40.8981044649491,43.6995990642455,"Capra_cylindricornis",42.2988517645973
"Capra falconeri",29.2126744240001,38.570720728,"Capra_falconeri",33.891697576
"Dama mesopotamica",29.5478355920001,37.579235592,"Dama_mesopotamica",33.5635355920001
"Phacochoerus aethiopicus",-3.98016099999995,11.296453,"Phacochoerus_aethiopicus",3.65814600000004
"Potamochoerus porcus",-8.07929640799995,13.5324355930001,"Potamochoerus_porcus",2.72656959250006
"Hylochoerus meinertzhageni",-4.48316440799994,11.5552355930001,"Hylochoerus_meinertzhageni",3.53603559250007
"Bos mutus",29.1501355930001,39.0415355920001,"Bos_mutus",34.0958355925001
"Moschus berezovskii",21.557435592,36.365235592,"Moschus_berezovskii",28.961335592
"Phacochoerus africanus",-34.214511871,18.3033780000001,"Phacochoerus_africanus",-7.95556693549995
"Antidorcas marsupialis",-33.7274644079999,-12.5216644069999,"Antidorcas_marsupialis",-23.1245644074999
"Antilocapra americana",20.8517355920001,51.3781355930001,"Antilocapra_americana",36.1149355925001
